"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","TC-03: Delete task in roadmap (negative)","webkit","2026-08-19","failed","2026-08-19","Redmine tests","roadmapTaskDelete.spec.ts","",""
"","4","TC-02: Search function by words in headers","webkit","2026-08-19","failed","2026-08-19","Redmine tests","searchFunction.spec.ts","",""
"","3303","TC-01: Navigation to ""issue tracking system"" feature page from main page","chromium","2026-08-19","passed","2026-08-19","Redmine tests","featurePage.spec.ts","",""
"","4","TC-01: Navigation to ""issue tracking system"" feature page from main page","webkit","2026-08-19","failed","2026-08-19","Redmine tests","featurePage.spec.ts","",""
"","5","TC-04: Closed issue status is correct in table of issues and on their pages","webkit","2026-08-19","failed","2026-08-19","Redmine tests","issues.spec.ts","",""
"","5","TC-02: Search function by words in headers","firefox","2026-08-19","failed","2026-08-19","Redmine tests","searchFunction.spec.ts","",""
"","4793","TC-04: Closed issue status is correct in table of issues and on their pages","chromium","2026-08-19","passed","2026-08-19","Redmine tests","issues.spec.ts","",""
"","5","TC-04: Closed issue status is correct in table of issues and on their pages","firefox","2026-08-19","failed","2026-08-19","Redmine tests","issues.spec.ts","",""
"","4","TC-05: Issue filter by category on issue page","webkit","2026-08-19","failed","2026-08-19","Redmine tests","issues.spec.ts","",""
"","5","TC-03: Delete task in roadmap (negative)","firefox","2026-08-19","failed","2026-08-19","Redmine tests","roadmapTaskDelete.spec.ts","",""
"","6614","TC-03: Delete task in roadmap (negative)","chromium","2026-08-19","passed","2026-08-19","Redmine tests","roadmapTaskDelete.spec.ts","",""
"","3932","TC-02: Search function by words in headers","chromium","2026-08-19","passed","2026-08-19","Redmine tests","searchFunction.spec.ts","",""
"","4","TC-05: Issue filter by category on issue page","firefox","2026-08-19","failed","2026-08-19","Redmine tests","issues.spec.ts","",""
"","5","TC-01: Navigation to ""issue tracking system"" feature page from main page","firefox","2026-08-19","failed","2026-08-19","Redmine tests","featurePage.spec.ts","",""
"","5552","TC-05: Issue filter by category on issue page","chromium","2026-08-19","passed","2026-08-19","Redmine tests","issues.spec.ts","",""
