"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 19 09:51:12 UTC 2026","Wed Aug 19 09:51:12 UTC 2026","4","webkit","featurePage.spec.ts","Redmine tests","","","TC-01: Navigation to ""issue tracking system"" feature page from main page",""
"failed","Wed Aug 19 09:51:05 UTC 2026","Wed Aug 19 09:51:05 UTC 2026","4","firefox","issues.spec.ts","Redmine tests","","","TC-04: Closed issue status is correct in table of issues and on their pages",""
"failed","Wed Aug 19 09:51:09 UTC 2026","Wed Aug 19 09:51:09 UTC 2026","4","firefox","roadmapTaskDelete.spec.ts","Redmine tests","","","TC-03: Delete task in roadmap (negative)",""
"passed","Wed Aug 19 09:50:55 UTC 2026","Wed Aug 19 09:50:59 UTC 2026","3607","chromium","roadmapTaskDelete.spec.ts","Redmine tests","","","TC-03: Delete task in roadmap (negative)",""
"passed","Wed Aug 19 09:50:59 UTC 2026","Wed Aug 19 09:51:02 UTC 2026","2938","chromium","searchFunction.spec.ts","Redmine tests","","","TC-02: Search function by words in headers",""
"failed","Wed Aug 19 09:51:14 UTC 2026","Wed Aug 19 09:51:14 UTC 2026","4","webkit","issues.spec.ts","Redmine tests","","","TC-04: Closed issue status is correct in table of issues and on their pages",""
"passed","Wed Aug 19 09:50:45 UTC 2026","Wed Aug 19 09:50:48 UTC 2026","2948","chromium","featurePage.spec.ts","Redmine tests","","","TC-01: Navigation to ""issue tracking system"" feature page from main page",""
"failed","Wed Aug 19 09:51:10 UTC 2026","Wed Aug 19 09:51:10 UTC 2026","4","firefox","searchFunction.spec.ts","Redmine tests","","","TC-02: Search function by words in headers",""
"passed","Wed Aug 19 09:50:48 UTC 2026","Wed Aug 19 09:50:51 UTC 2026","3638","chromium","issues.spec.ts","Redmine tests","","","TC-04: Closed issue status is correct in table of issues and on their pages",""
"failed","Wed Aug 19 09:51:04 UTC 2026","Wed Aug 19 09:51:04 UTC 2026","4","firefox","featurePage.spec.ts","Redmine tests","","","TC-01: Navigation to ""issue tracking system"" feature page from main page",""
"failed","Wed Aug 19 09:51:19 UTC 2026","Wed Aug 19 09:51:19 UTC 2026","4","webkit","searchFunction.spec.ts","Redmine tests","","","TC-02: Search function by words in headers",""
"failed","Wed Aug 19 09:51:15 UTC 2026","Wed Aug 19 09:51:15 UTC 2026","5","webkit","issues.spec.ts","Redmine tests","","","TC-05: Issue filter by category on issue page",""
"failed","Wed Aug 19 09:51:07 UTC 2026","Wed Aug 19 09:51:07 UTC 2026","4","firefox","issues.spec.ts","Redmine tests","","","TC-05: Issue filter by category on issue page",""
"failed","Wed Aug 19 09:51:17 UTC 2026","Wed Aug 19 09:51:17 UTC 2026","4","webkit","roadmapTaskDelete.spec.ts","Redmine tests","","","TC-03: Delete task in roadmap (negative)",""
"passed","Wed Aug 19 09:50:51 UTC 2026","Wed Aug 19 09:50:55 UTC 2026","3843","chromium","issues.spec.ts","Redmine tests","","","TC-05: Issue filter by category on issue page",""
